Gene ID,Locus Tag,Gene Name,Protein Code,Protein Product
gene763,NVIE_007250,NVIE_007250,A0A060HE62,exported protein of unknown function
gene764,NVIE_007260,NVIE_007260,A0A060HI32,exported protein of unknown function
gene765,NVIE_0740,NVIE_0740,A0A060HN15,fragment/protein of unknown function
gene766,NVIE_007270,NVIE_007270,A0A060HP40,protein of unknown function
gene767,NVIE_007280,NVIE_007280,A0A060HHC0,protein of unknown function
gene768,NVIE_007290,NVIE_007290,A0A060HE65,conserved protein of unknown function
gene769,NVIE_007300,NVIE_007300,A0A060HI36,exported protein of unknown function
gene770,NVIE_007310,NVIE_007310,A0A060HN19,putative exported protein of unknown function with cupredoxin domain
gene771,NVIE_007320,NVIE_007320,A0A060HP41,protein of unknown function
gene772,NVIE_007330,NVIE_007330,A0A060HHC3,protein of unknown function
gene773,NVIE_007340,NVIE_007340,A0A060HE69,protein of unknown function
gene774,NVIE_007350,NVIE_007350,A0A060HI40,protein of unknown function
gene775,NVIE_007360,NVIE_007360,A0A060HN21,membrane protein of unknown function
gene776,NVIE_007370,NVIE_007370,A0A060HP46,protein of unknown function
gene777,NVIE_t0100,NVIE_t0100,#N/A,tRNA-Pro
gene778,NVIE_0750,NVIE_0750,A0A060HHC8,hypothetical protein
gene779,NVIE_007390,NVIE_007390,A0A060HE73,Bmp family protein
gene780,NVIE_007400,NVIE_007400,A0A060HI43,"putative membrane associated signal transduction histidine kinase, with phosphoacceptor and ATP binding domain"
gene781,NVIE_0753,NVIE_0753,A0A060HN25,fragment/protein of unknown function
gene782,NVIE_007410,NVIE_007410,A0A060HP48,"putative signal transduction response regulator, receiver domain"
gene783,NVIE_007420,NVIE_007420,A0A060HHD0,hypothetical protein
gene784,NVIE_007430,NVIE_007430,A0A060HE76,protein of unknown function
gene785,NVIE_007440,NVIE_007440,A0A060HI46,hypothetical protein
gene786,NVIE_007450,NVIE_007450,A0A060HN28,hypothetical protein
gene787,NVIE_0759,NVIE_0759,A0A060HP51,putative amidophosphoribosyltransferase
gene788,NVIE_007460,leuD1,A0A060HHD4,3-isopropylmalate dehydratase small subunit
gene789,NVIE_007470,leuC1,A0A060HE79,3-isopropylmalate dehydratase large subunit
gene790,NVIE_0762,psmB2,A0A060HI51,"proteasome, subunit beta"
gene791,NVIE_007480,NVIE_007480,A0A060HN31,hypothetical protein
gene792,NVIE_007490,NVIE_007490,A0A060HP54,protein of unknown function
gene793,NVIE_007500,NVIE_007500,A0A060HHD7,protein of unknown function
gene794,NVIE_007510,NVIE_007510,A0A060HE83,hypothetical protein
gene795,NVIE_007520,NVIE_007520,A0A060HI55,protein of unknown function
gene796,NVIE_007530,NVIE_007530,A0A060HN34,hypothetical protein
gene797,NVIE_007540,NVIE_007540,A0A060HP57,radical SAM domain protein
gene798,NVIE_007550,NVIE_007550,A0A060HHE0,"Transcription regulator, TrmB"
gene799,NVIE_007560,NVIE_007560,A0A060HE87,"putative iron (metal) dependent repressor, DtxR family"
gene800,NVIE_0772,NVIE_0772,A0A060HI59,hypothetical protein
gene801,NVIE_007570,pelA,A0A060HN38,protein pelota
gene802,NVIE_007580,NVIE_007580,A0A060HP60,putative cutA1 divalent ion tolerance protein
gene803,NVIE_007590,NVIE_007590,A0A060HHE4,hypothetical protein
gene804,NVIE_007600,NVIE_007600,A0A060HE89,protein of unknown function DUF354
gene805,NVIE_007610,gyaR,A0A060HI62,glyoxylate reductase
gene806,NVIE_007620,NVIE_007620,A0A060HN42,putative acetyltransferase
gene807,NVIE_007630,NVIE_007630,A0A060HP63,uncharacterised protein family UPF0434/Trm112
gene808,NVIE_007640,NVIE_007640,A0A060HHE6,putative oxidoreductase domain protein
gene809,NVIE_007650,ilvE1,A0A060HE93,branched-chain amino-acid aminotransferase
gene810,NVIE_007660,NVIE_007660,A0A060HI66,hypothetical protein
gene811,NVIE_007670,albA2,A0A060HN46,DNA/RNA-binding protein Alba
gene812,NVIE_007680,NVIE_007680,A0A060HP66,protein of unknown function
gene813,NVIE_007690,NVIE_007690,A0A060HHF0,protein of unknown function
gene814,NVIE_007700,NVIE_007700,A0A060HE98,exported protein of unknown function
gene815,NVIE_007710,NVIE_007710,A0A060HI70,hypothetical protein
gene816,NVIE_007720,NVIE_007720,A0A060HN51,putative methyltransferase type 11
gene817,NVIE_007730,NVIE_007730,A0A060HP69,putative membrane-associated heat shock protein
gene818,NVIE_007740,NVIE_007740,A0A060HHF4,"putative transcriptional regulator, AsnC family"
gene819,NVIE_007750,NVIE_007750,A0A060HEA2,putative phosphosugar isomerase
gene820,NVIE_007760,NVIE_007760,A0A060HI74,putative thiosulfate sulfurtransferase
gene821,NVIE_007770,NVIE_007770,A0A060HN55,"putative iron (metal) dependent repressor, DtxR family"
gene822,NVIE_007780,NVIE_007780,A0A060HP73,putative PilT domain protein/Type II secretion system protein E
gene823,NVIE_007790,glnB,A0A060HHF7,Nitrogen regulatory protein P-II
gene824,NVIE_007800,NVIE_007800,A0A060HEA4,putative secreted metalloprotease
gene825,NVIE_007810,map,A0A060HI78,methionine aminopeptidase
gene826,NVIE_007820,NVIE_007820,A0A060HN59,hypothetical protein
gene827,NVIE_007830,NVIE_007830,A0A060HP75,protein of unknown function DUF1512
gene828,NVIE_007840,NVIE_007840,A0A060HHG1,hypothetical protein
gene829,NVIE_007850,NVIE_007850,A0A060HEA8,hypothetical protein
gene830,NVIE_007860,NVIE_007860,A0A060HI81,hypothetical protein
gene831,NVIE_007870,NVIE_007870,A0A060HN63,hypothetical protein
gene832,NVIE_007880,NVIE_007880,A0A060HP79,putative Mn2+-dependent serine/threonine protein kinase
gene833,NVIE_007890,ubiE1,A0A060HHG6,putative menaquinone biosynthesis methyltransferase UbiE
gene834,NVIE_007900,NVIE_007900,A0A060HEB3,hypothetical protein
gene835,NVIE_007910,NVIE_007910,A0A060HI85,putative enzyme
gene836,NVIE_007920,NVIE_007920,A0A060HN67,protein of unknown function
gene837,NVIE_007930,NVIE_007930,A0A060HP85,hypothetical protein
gene838,NVIE_t0110,NVIE_t0110,#N/A,tRNA-Ala
gene839,NVIE_0810,NVIE_0810,A0A060HHG9,hypothetical protein
gene840,NVIE_007940,NVIE_007940,A0A060HEB5,putative NUDIX hydrolase
gene841,NVIE_007950,NVIE_007950,A0A060HI89,putative radical SAM domain protein
gene842,NVIE_007960,NVIE_007960,A0A060HN70,hypothetical protein
gene843,NVIE_007970,NVIE_007970,A0A060HP89,putative FAD/NAD(P)-binding oxidoreductase
gene844,NVIE_007980,NVIE_007980,A0A060HHH5,hypothetical protein
gene845,NVIE_007990,NVIE_007990,A0A060HEC0,hypothetical protein
gene846,NVIE_0817,NVIE_0817,A0A060HI93,protein of unknown function
gene847,NVIE_008000,NVIE_008000,A0A060HN74,Protein of unknown function DUF1326
gene848,NVIE_008010,cdc48-2,A0A060HP91,"AAA family ATPase, CDC48 subfamily protein"
gene849,NVIE_008020,NVIE_008020,A0A060HHH9,"putative Arginase family hydrolase, arginase/agmainase/formiminoglutamate hydrolase"
gene850,NVIE_008030,NVIE_008030,A0A060HEC5,fragment/protein of unknown function
gene851,NVIE_008040,NVIE_008040,A0A060HI98,putative fumarylacetoacetate hydrolase
gene852,NVIE_008050,gltX,A0A060HN78,glutamate--tRNA ligase
gene853,NVIE_0823,gds,A0A060HP95,geranylgeranyl pyrophosphate synthase
gene854,NVIE_008060,fni,A0A060HHI3,isopentenyl-diphosphate delta-isomerase
gene855,NVIE_008070,NVIE_008070,A0A060HED0,putative aspartate/glutamate/uridylate kinase
gene856,NVIE_008080,NVIE_008080,A0A060HIA2,hypothetical protein
gene857,NVIE_008090,NVIE_008090,A0A060HN84,TPR repeat protein
gene858,NVIE_008100,NVIE_008100,A0A060HP99,putative myo-inositol-1-phosphate synthase
gene859,NVIE_008120,NVIE_008120,A0A060HHI7,hypothetical protein
gene860,NVIE_008130,NVIE_008130,A0A060HED3,putative thiazole biosynthetic enzyme Thi4 family
gene861,NVIE_0831,NVIE_0831,A0A060HIA5,fragment/protein of unknown function
gene862,NVIE_008140,NVIE_008140,A0A060HN89,protein of unknown function
gene863,NVIE_008150,NVIE_008150,A0A060HPA3,hypothetical protein
gene864,NVIE_008160,trxB,A0A060HHJ1,thioredoxin reductase
gene865,NVIE_008170,cysM2,A0A060HED8,cysteine synthase
gene866,NVIE_008180,NVIE_008180,A0A060HIA9,putative SirA family protein
gene867,NVIE_008190,yisY,A0A060HN94,Alpha/beta hydrolase fold protein
gene868,NVIE_008200,cofE-1,A0A060HPA7,F420-0:gamma-L-glutamate ligase
gene869,NVIE_008210,serB,A0A060HHJ7,phosphoserine phosphatase SerB
gene870,NVIE_0840,NVIE_0840,A0A060HEE4,putative von Willebrand factor type A
gene871,NVIE_008220,NVIE_008220,A0A060HIB4,putative Mg-chelatase subunit
gene872,NVIE_008230,NVIE_008230,A0A060HN99,hypothetical protein
gene873,NVIE_008240,rps13p,A0A060HPB0,30S ribosomal protein S13p
gene874,NVIE_008250,rps4p,A0A060HHK3,30S ribosomal protein S4p
gene875,NVIE_008260,NVIE_008260,A0A060HEE9,hypothetical protein
gene876,NVIE_008270,glmS1,A0A060HIB7,glucosamine-fructose-6-phosphate aminotransferase
gene877,NVIE_008280,NVIE_008280,A0A060HNA5,putative SNF7 protein
gene878,NVIE_008290,NVIE_008290,A0A060HPB3,hypothetical protein
gene879,NVIE_008300,NVIE_008300,A0A060HHK7,putative Lysylphosphatidylglycerol synthetase/glycosyltransferase AglD
gene880,NVIE_008310,NVIE_008310,A0A060HEF4,protein of unknown function
gene881,NVIE_008320,NVIE_008320,A0A060HIC1,hypothetical protein
gene882,NVIE_008330,thrB,A0A060HNB0,homoserine kinase
gene883,NVIE_008340,NVIE_008340,A0A060HPB6,3-hydroxybutyryl-CoA dehydratase
gene884,NVIE_008350,NVIE_008350,A0A060HHL2,putative agmatinase
gene885,NVIE_008360,NVIE_008360,A0A060HEF8,hypothetical protein
gene886,NVIE_008370,NVIE_008370,A0A060HIC5,hypothetical protein
gene887,NVIE_008380,copA1,A0A060HNB6,Copper-exporting P-type ATPase A
gene888,NVIE_008390,NVIE_008390,A0A060HPB9,hypothetical protein
gene889,NVIE_008400,NVIE_008400,A0A060HHL6,putative proteasome assembly chaperone 2
gene890,NVIE_008410,NVIE_008410,A0A060HEG2,protein of unknown function
gene891,NVIE_0861,NVIE_0861,A0A060HIC8,hypothetical protein
gene892,NVIE_008420,NVIE_008420,A0A060HNC1,hypothetical protein
gene893,NVIE_008430,lig,A0A060HPC3,DNA ligase
gene894,NVIE_008440,rps25e,A0A060HHM1,30S ribosomal protein S25e
gene895,NVIE_008450,NVIE_008450,A0A060HEG8,hypothetical protein
gene896,NVIE_008460,NVIE_008460,A0A060HID3,protein of unknown function
gene897,NVIE_008470,rpoK,A0A060HNC6,DNA-directed RNA polymerase subunit K
gene898,NVIE_008480,NVIE_008480,A0A060HPC7,putative dihydrolipoamide dehydrogenase
gene899,NVIE_0868,NVIE_0868,A0A060HHM8,fragment/protein of unknown function
gene900,NVIE_008490,NVIE_008490,A0A060HEH3,"putative transcriptional regulator, ArsR family"
gene901,NVIE_008500,NVIE_008500,A0A060HID6,hypothetical protein
gene902,NVIE_008510,NVIE_008510,A0A060HND1,hypothetical protein
gene903,NVIE_008520,NVIE_008520,A0A060HPD3,Putative lipoprotein (modular protein)
gene904,NVIE_008530,NVIE_008530,A0A060HHN2,putative NAD-dependent alcohol dehydrogenase
gene905,NVIE_008540,lsrF,A0A060HEH8,uncharacterised aldolase LsrF
gene906,NVIE_008550,NVIE_008550,A0A060HIE0,hypothetical protein
gene907,NVIE_008560,ilvB,A0A060HND7,"acetolactate synthase, large subunit"
gene908,NVIE_008570,ilvH,A0A060HPD7,"acetolactate synthase, small subunit"
gene909,NVIE_008580,leuA,A0A060HHN8,2-isopropylmalate synthase
gene910,NVIE_008590,leuB,A0A060HEI4,3-isopropylmalate dehydrogenase
gene911,NVIE_008600,NVIE_008600,A0A060HIE5,hypothetical protein
gene912,NVIE_008610,NVIE_008610,A0A060HNE1,protein of unknown function
gene913,NVIE_0882,NVIE_0882,A0A060HPE1,fragment/hypothetical protein
gene914,NVIE_008620,carA,A0A060HHP4,carbamoyl-phosphate synthase small chain (glutamine-hydrolyzing)
gene915,NVIE_008630,carB,A0A060HEI9,carbamoyl-phosphate synthase large chain
gene916,NVIE_008650,NVIE_008650,A0A060HIF0,protein of unknown function
gene917,NVIE_008660,NVIE_008660,A0A060HNE7,putative phosphoesterase
gene918,NVIE_0887,NVIE_0887,A0A060HPE6,hypothetical protein
gene919,NVIE_008670,purD,A0A060HHQ0,phosphoribosylamine--glycine ligase
gene920,NVIE_0889,NVIE_0889,A0A060HEJ4,putative 5-formyltetrahydrofolate cyclo-ligase
gene921,NVIE_008680,folD,A0A060HIF3,bifunctional protein FolD
gene922,NVIE_008690,NVIE_008690,A0A060HNF2,protein of unknown function
gene923,NVIE_008700,NVIE_008700,A0A060HPF0,"putative glycosyl transferase, family 2"
gene924,NVIE_008710,asnB,A0A060HHQ4,putative asparagine synthase
gene925,NVIE_008720,NVIE_008720,A0A060HEJ8,hypothetical protein
gene926,NVIE_008730,rpl37e,A0A060HIF8,50S ribosomal protein L37e
gene927,NVIE_008740,NVIE_008740,A0A060HNF5,putative small nuclear ribonucleoprotein
gene928,NVIE_0897,NVIE_0897,A0A060HPF5,putative creatinine amidohydrolase
gene929,NVIE_008750,purU,A0A060HHR1,formyltetrahydrofolate deformylase
gene930,NVIE_008760,NVIE_008760,A0A060HEK4,protein of unknown function
gene931,NVIE_008770,NVIE_008770,A0A060HIG3,protein of unknown function
gene932,NVIE_008780,NVIE_008780,A0A060HNG0,protein of unknown function
gene933,NVIE_008790,NVIE_008790,A0A060HPG2,protein of unknown function
gene934,NVIE_008800,NVIE_008800,A0A060HHR6,protein of unknown function
gene935,NVIE_008810,NVIE_008810,A0A060HEK9,hypothetical protein
gene936,NVIE_008820,NVIE_008820,A0A060HIG7,protein of unknown function
gene937,NVIE_008830,NVIE_008830,A0A060HNG5,putative Polyketide cyclase/dehydrase
gene938,NVIE_008840,NVIE_008840,A0A060HPG7,protein of unknown function
gene939,NVIE_008850,NVIE_008850,A0A060HHS1,protein of unknown function
gene940,NVIE_008860,NVIE_008860,A0A060HEL5,putative protein of unknown function DUF2078
gene941,NVIE_008870,NVIE_008870,A0A060HIH0,Uncharacterized HTH-type transcriptional regulator yvaP (modular protein)
gene942,NVIE_008880,NVIE_008880,A0A060HNH0,putative glycosyl transferase
gene943,NVIE_008890,NVIE_008890,A0A060HPH2,protein of unknown function
gene944,NVIE_008900,NVIE_008900,A0A060HHS7,putative methyltransferase
gene945,NVIE_008910,NVIE_008910,A0A060HEM0,UDP-N-acetylglucosamine 2-epimerase
gene946,NVIE_008920,NVIE_008920,A0A060HIH4,protein of unknown function
gene947,NVIE_008930,NVIE_008930,A0A060HNH5,hypothetical protein
gene948,NVIE_008940,NVIE_008940,A0A060HPH7,protein of unknown function
gene949,NVIE_008950,NVIE_008950,A0A060HHT2,protein of unknown function
gene950,NVIE_008960,NVIE_008960,A0A060HEM4,protein of unknown function
gene951,NVIE_0920,NVIE_0920,A0A060HIH8,protein of unknown function
gene952,NVIE_008970,NVIE_008970,A0A060HNI1,hypothetical protein
gene953,NVIE_008980,NVIE_008980,A0A060HPI2,protein of unknown function
gene954,NVIE_008990,pdaD,A0A060HHT8,pyruvoyl-dependent arginine decarboxylase
gene955,NVIE_009000,NVIE_009000,A0A060HEM9,protein of unknown function
gene956,NVIE_009010,NVIE_009010,A0A060HII3,protein of unknown function
gene957,NVIE_0925,NVIE_0925,A0A060HNI5,protein of unknown function
gene958,NVIE_009020,NVIE_009020,A0A060HPI8,protein of unknown function
gene959,NVIE_009030,NVIE_009030,A0A060HHU2,protein of unknown function
gene960,NVIE_009040,NVIE_009040,A0A060HEN4,protein of unknown function
gene961,NVIE_009050,NVIE_009050,A0A060HII6,protein of unknown function
gene962,NVIE_009060,NVIE_009060,A0A060HNJ0,protein of unknown function
gene963,NVIE_009070,NVIE_009070,A0A060HPJ3,protein of unknown function
gene964,NVIE_009080,NVIE_009080,A0A060HHU9,protein of unknown function
gene965,NVIE_009090,NVIE_009090,A0A060HEN9,protein of unknown function
gene966,NVIE_009100,NVIE_009100,A0A060HIJ1,protein of unknown function
gene967,NVIE_009110,NVIE_009110,A0A060HNJ4,protein of unknown function
gene968,NVIE_009120,NVIE_009120,A0A060HPJ9,protein of unknown function
gene969,NVIE_009130,NVIE_009130,A0A060HHV4,putative superfamily I DNA and RNA helicase
gene970,NVIE_009140,uvrD,A0A060HEP5,putative UvrD/REP helicase
gene971,NVIE_009150,NVIE_009150,A0A060HIJ7,"putative Type II restriction-modification system methylase subunit, N6 adenine-specific DNA methyltransferase"
gene972,NVIE_009160,NVIE_009160,A0A060HNJ9,"putative superfamily II DNA/RNA helicase, SNF2 family"
gene973,NVIE_009170,NVIE_009170,A0A060HPK5,putative Metal dependent phosphohydrolase
gene974,NVIE_009180,NVIE_009180,A0A060HHV9,protein of unknown function
gene975,NVIE_009190,NVIE_009190,A0A060HEP9,putative Radical SAM domain protein
gene976,NVIE_009200,NVIE_009200,A0A060HIK1,putative Gp37/Gp68 family protein
gene977,NVIE_009210,cdc6-2,A0A060HNK5,putative cell division control protein 6
gene978,NVIE_009220,NVIE_009220,A0A060HPL1,hypothetical protein
gene979,NVIE_009230,NVIE_009230,A0A060HHW5,hypothetical protein
gene980,NVIE_009240,NVIE_009240,A0A060HEQ4,hypothetical protein
gene981,NVIE_009250,NVIE_009250,A0A060HIK5,hypothetical protein
gene982,NVIE_009260,NVIE_009260,A0A060HNL1,ParB-like nuclease domain-containing protein
gene983,NVIE_009270,NVIE_009270,A0A060HPL6,UpsA-like archaeal pilin
gene984,NVIE_009280,NVIE_009280,A0A060HHW9,putative BasA-like protein
gene985,NVIE_009290,NVIE_009290,A0A060HEQ7,putative cell surface uncharacterised protein related to type IV pili
gene986,NVIE_009300,NVIE_009300,A0A060HIK8,protein of unknown function
gene987,NVIE_009310,NVIE_009310,A0A060HNL5,protein of unknown function
gene988,NVIE_009320,NVIE_009320,A0A060HPM0,protein of unknown function
gene989,NVIE_009330,NVIE_009330,A0A060HHX5,putative type IV pilus assembly ATPase of Type II secretion system protein family
gene990,NVIE_009340,NVIE_009340,A0A060HER1,protein of unknown function
gene991,NVIE_009350,NVIE_009350,A0A060HIL3,protein of unknown function
gene992,NVIE_009360,NVIE_009360,A0A060HNL9,putative membrane bound type IV pili protein
gene993,NVIE_009370,NVIE_009370,A0A060HPM6,hypothetical protein
gene994,NVIE_009380,NVIE_009380,A0A060HHX9,hypothetical protein
gene995,NVIE_009390,NVIE_009390,A0A060HER6,PilT protein domain protein
gene996,NVIE_009400,NVIE_009400,A0A060HIL8,protein of unknown function
gene997,NVIE_009410,NVIE_009410,A0A060HNM4,protein of unknown function
gene998,NVIE_009420,NVIE_009420,A0A060HPN0,hypothetical protein
gene999,NVIE_009430,NVIE_009430,A0A060HHY4,putative TrbE protein
gene1000,NVIE_009440,NVIE_009440,A0A060HES0,hypothetical protein
gene1001,NVIE_009450,NVIE_009450,A0A060HIM1,hypothetical protein
gene1002,NVIE_009460,NVIE_009460,A0A060HNN0,hypothetical protein
gene1003,NVIE_009470,NVIE_009470,A0A060HPN6,hypothetical protein
gene1004,NVIE_0972,NVIE_0972,A0A060HHZ0,hypothetical protein
gene1005,NVIE_009480,NVIE_009480,A0A060HES4,hypothetical protein
gene1006,NVIE_009490,NVIE_009490,A0A060HIM4,conserved protein of unknown function
gene1007,NVIE_009500,NVIE_009500,A0A060HNN5,hypothetical protein
gene1008,NVIE_009510,NVIE_009510,A0A060HPP1,hypothetical protein
gene1009,NVIE_009520,NVIE_009520,A0A060HHZ4,hypothetical protein
gene1010,NVIE_0978,NVIE_0978,A0A060HES9,hypothetical protein
gene1011,NVIE_009530,NVIE_009530,A0A060HIM8,molecular chaperone HSP90 family
gene1012,NVIE_009540,NVIE_009540,A0A060HNP0,putative Hsp90 domain protein
gene1013,NVIE_009550,NVIE_009550,A0A060HPP6,hypothetical protein
gene1014,NVIE_009560,NVIE_009560,A0A060HHZ9,hypothetical protein
gene1015,NVIE_009570,NVIE_009570,A0A060HET4,Deoxyribonuclease/rho motif-related TRAM domain containing protein
gene1016,NVIE_009580,NVIE_009580,A0A060HIN1,protein of unknown function
gene1017,NVIE_009590,NVIE_009590,A0A060HNP3,hypothetical protein
gene1018,NVIE_009600,flaK1,A0A060HPQ0,putative archaeal preflagellin peptidase FlaK
gene1019,NVIE_009610,NVIE_009610,A0A060HI03,hypothetical protein
gene1020,NVIE_009620,NVIE_009620,A0A060HET9,protein of unknown function
gene1021,NVIE_009630,NVIE_009630,A0A060HIN4,zinc finger C2H2 domain-containing protein
gene1022,NVIE_009640,NVIE_009640,A0A060HNP8,protein of unknown function
gene1023,NVIE_009650,NVIE_009650,A0A060HPQ6,putative integrase family protein
gene1024,NVIE_t0120,NVIE_t0120,#N/A,tRNA-Thr
gene1025,NVIE_009660,NVIE_009660,A0A060HI09,protein of unknown function
gene1026,NVIE_0991,NVIE_0991,A0A060HEU5,protein of unknown function
gene1027,NVIE_009670,NVIE_009670,A0A060HIN8,protein of unknown function
gene1028,NVIE_009680,NVIE_009680,A0A060HNQ3,protein of unknown function
gene1029,NVIE_009690,NVIE_009690,A0A060HPR2,protein of unknown function
gene1030,NVIE_009700,NVIE_009700,A0A060HI15,protein of unknown function
gene1031,NVIE_009710,NVIE_009710,A0A060HEV0,protein of unknown function
gene1032,NVIE_009720,NVIE_009720,A0A060HIP2,protein of unknown function
gene1033,NVIE_009730,NVIE_009730,A0A060HNQ9,uncharacterised protein
gene1034,NVIE_009740,NVIE_009740,A0A060HPR7,putative nucleic acid binding OB-fold tRNA/helicase-type
gene1035,NVIE_009750,NVIE_009750,A0A060HI21,protein of unknown function
gene1036,NVIE_t0130,NVIE_t0130,#N/A,tRNA-Leu
gene1037,NVIE_009760,NVIE_009760,A0A060HEV5,putative protein of unknown function DUF192
gene1038,NVIE_009770,flaB1,A0A060HIQ3,archaeal flagellin
gene1039,NVIE_009780,NVIE_009780,A0A060HNR4,"putative transcriptional regulator, TrmB"
gene1040,NVIE_009790,NVIE_009790,A0A060HPS3,putative Methyl-accepting chemotaxis sensory transducer
gene1041,NVIE_009800,NVIE_009800,A0A060HI27,protein of unknown function
gene1042,NVIE_009810,NVIE_009810,A0A060HEW2,protein of unknown function
gene1043,NVIE_009820,NVIE_009820,A0A060HIQ8,putative methyl-accepting chemotaxis protein
gene1044,NVIE_009840,cheW,A0A060HNR7,chemotaxis protein CheW
gene1045,NVIE_009850,cheY,A0A060HPS9,chemotaxis response regulator CheY
gene1046,NVIE_009860,cheB,A0A060HI34,Chemotaxis response regulator protein-glutamate methylesterase
gene1047,NVIE_009870,cheA,A0A060HEW9,chemotactic sensor histidine kinase CheA
gene1048,NVIE_009880,cheC,A0A060HIR0,putative chemotaxis protein cheC
gene1049,NVIE_009890,cheD,A0A060HNS2,chemoreceptor glutamine deamidase CheD
gene1050,NVIE_009900,cheR,A0A060HPT7,putative chemotaxis MCP methyltransferase CheR
gene1051,NVIE_009910,flaI,A0A060HI41,archaeal flagella protein FlaI
gene1052,NVIE_009920,trmB1,A0A060HEX6,"putative transcriptional regulator, TrmB"
gene1053,NVIE_009930,flaB2,A0A060HIR5,Archaeal flagellin
gene1054,NVIE_009950,flaB3,A0A060HNS8,archaeal flagellin
gene1055,NVIE_009960,NVIE_009960,A0A060HPU3,protein of unknown function
gene1056,NVIE_009970,flaG,A0A060HI47,putative Archaeal flagellar protein FlaG
gene1057,NVIE_009980,flaF,A0A060HEY2,putative flagellar protein FlaF
gene1058,NVIE_009990,flaH,A0A060HIS1,flagella protein FlaH
gene1059,NVIE_010000,flaJ,A0A060HNT3,putative archaeal flagella assembly protein J
gene1060,NVIE_010010,NVIE_010010,A0A060HPU8,protein of unknown function
gene1061,NVIE_010020,NVIE_010020,A0A060HI53,protein of unknown function
gene1062,NVIE_010030,NVIE_010030,A0A060HEY8,putative KaiC family protein kinase
gene1063,NVIE_010040,NVIE_010040,A0A060HIS6,protein of unknown function
gene1064,NVIE_010050,NVIE_010050,A0A060HNT8,protein of unknown function
gene1065,NVIE_010060,trmB2,A0A060HPV6,"putative transcriptional regulator, TrmB"
gene1066,NVIE_010070,NVIE_010070,A0A060HI60,protein of unknown function
gene1067,NVIE_010080,flaK2,A0A060HEZ4,putative archaeal preflagellin peptidase FlaK
gene1068,NVIE_010090,NVIE_010090,A0A060HIT3,Dehydrogenase
gene1069,NVIE_010100,NVIE_010100,A0A060HNU3,protein of unknown function
gene1070,NVIE_010110,NVIE_010110,A0A060HPW2,putative FMN-binding pyridoxamine 5'-phosphate oxidase
gene1071,NVIE_010120,acsA1,A0A060HI65,acetyl-CoA synthetase
gene1072,NVIE_010130,NVIE_010130,A0A060HF00,DNA adenine methylase
gene1073,NVIE_010140,NVIE_010140,A0A060HIT7,protein of unknown function
gene1074,NVIE_010150,NVIE_010150,A0A060HNU7,archaeal histone
gene1075,NVIE_010160,NVIE_010160,A0A060HPW8,putative TatD-like deoxyribonuclease
gene1076,NVIE_010170,rps17e,A0A060HI72,30S ribosomal protein S17e
gene1077,NVIE_010180,NVIE_010180,A0A060HF07,hypothetical protein
gene1078,NVIE_010190,NVIE_010190,A0A060HIU3,putative THUMP domain protein
gene1079,NVIE_010200,NVIE_010200,A0A060HNV2,putative Sua5/YciO/YrdC/YwlC family protein
gene1080,NVIE_010210,NVIE_010210,A0A060HPX4,hydantoinase/oxoprolinase
gene1081,NVIE_010220,NVIE_010220,A0A060HI79,hypothetical protein
gene1082,NVIE_010230,NVIE_010230,A0A060HF13,membrane protein of unknown function
gene1083,NVIE_010240,NVIE_010240,A0A060HIU9,putative integrase family protein
gene1084,NVIE_010250,NVIE_010250,A0A060HNV6,protein of unknown function
gene1085,NVIE_010260,NVIE_010260,A0A060HPY0,protein of unknown function
gene1086,NVIE_010270,NVIE_010270,A0A060HI84,protein of unknown function
gene1087,NVIE_010280,NVIE_010280,A0A060HF19,protein of unknown function
gene1088,NVIE_010290,NVIE_010290,A0A060HIV6,putative transposase
gene1089,NVIE_010300,NVIE_010300,A0A060HNW1,4-vinyl reductase domain protein
gene1090,NVIE_010310,NVIE_010310,A0A060HPY6,protein of unknown function
gene1091,NVIE_010320,NVIE_010320,A0A060HI90,putative UDP-glucose/GDP-mannose dehydrogenase
gene1092,NVIE_010340,NVIE_010340,A0A060HF26,protein of unknown function
gene1093,NVIE_010350,NVIE_010350,A0A060HIW1,protein of unknown function
gene1094,NVIE_010360,NVIE_010360,A0A060HNW8,protein of unknown function
gene1095,NVIE_010370,NVIE_010370,A0A060HPZ2,protein of unknown function
gene1096,NVIE_010380,NVIE_010380,A0A060HI95,protein of unknown function
gene1097,NVIE_010390,NVIE_010390,A0A060HF34,protein of unknown function
gene1098,NVIE_1060,NVIE_1060,A0A060HIX1,protein of unknown function
gene1099,NVIE_010410,glmS2,A0A060HNX3,Glucosamine-fructose-6-phosphate aminotransferase
gene1100,NVIE_010420,NVIE_010420,A0A060HPZ8,hypothetical protein
gene1101,NVIE_010430,NVIE_010430,A0A060HIA1,protein of unknown function
gene1102,NVIE_010440,NVIE_010440,A0A060HF41,protein of unknown function
gene1103,NVIE_010450,NVIE_010450,A0A060HIX8,exported or cell surface associated protein of unknown function containing glycoside hydrolase/deacetylase and HYR-domains
gene1104,NVIE_010460,NVIE_010460,A0A060HNX8,putative Poly(beta-D-mannuronate) C5 epimerase
gene1105,NVIE_010470,NVIE_010470,A0A060HQ05,"putative Glycosyl transferase, family 2"
gene1106,NVIE_010480,NVIE_010480,A0A060HIA8,putative endoribonuclease L-PSP
